id,fldNpdidFi,wlbNpdidWe,fldName,fldCurrent,wlbName,fldDiscove,fldFactPag,fldFactMap,fldOwnerKi,fldOwnerNa,cmpLongNam,wlbFactPag,fldHcType,fldMainAre,cmpNpdidCo,fldNpdidOw,fldDateUpd,fldDateU_1,fldMainSup,Shape_Leng,Shape_Area
27,43639,118,OSEBERG ØST,Producing,30/06/2005,1981,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43639,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43639,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=118,OIL,North Sea,32011216,3500071,00:00.0,00:00.0,Mongstad,47597.85247,52184035.78
28,43645,55,OSEBERG SØR,Producing,30/09/2003,1984,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43645,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43645,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=55,OIL/GAS,North Sea,32011216,3500071,00:00.0,00:00.0,Mongstad,120589.4212,181766886.8
83,5506919,1521,OSELVAR,Shut down,01/03/2006,1991,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=5506919,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=5506919,PRODUCTION LICENSE,274,DNO Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1521,GAS,North Sea,29468270,2060266,00:00.0,00:00.0,,37181.21926,28864448.22
19,43576,353,ØST FRIGG,Shut down,25/02/2001,1973,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43576,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43576,PRODUCTION LICENSE,873,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=353,GAS,North Sea,28544099,28973585,00:00.0,00:00.0,,33567.58937,19850314.89
76,4467554,3391,REV,Producing,15/12/2012,2001,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4467554,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467554,PRODUCTION LICENSE,038 C,Repsol Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3391,OIL/GAS,North Sea,27052812,4005057,00:00.0,00:00.0,,10640.27379,3589060.2
71,3505505,4805,RINGHORNE ØST,Producing,25/8-14 S,2003,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3505505,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3505505,BUSINESS ARRANGEMENT AREA,RINGHORNE ØST UNIT,V├Ñr Energi AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4805,OIL,North Sea,33360957,3505593,00:00.0,00:00.0,,23476.1435,19606071.19
59,1630100,91,SIGYN,Producing,16/07/2004,1982,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1630100,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1630100,PRODUCTION LICENSE,72,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=91,GAS/CONDENSATE,North Sea,32011216,21372,00:00.0,00:00.0,Dusavik,22076.97752,13616980.28
115,29401178,8102,SINDRE,Producing,34/10-55 S,2017,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29401178,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29401178,BUSINESS ARRANGEMENT AREA,SINDRE UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8102,OIL/GAS,North Sea,32011216,29400473,00:00.0,00:00.0,,17510.85563,5135346.18
79,4704482,3683,SKARV,Producing,01/05/6507,1998,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4704482,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4704482,BUSINESS ARRANGEMENT AREA,SKARV UNIT,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3683,OIL/GAS,Norwegian Sea,28544099,4468539,00:00.0,00:00.0,Sandnessj├╕en,43915.93719,25317857.75
63,2138816,1488,SKIRNE,Producing,25/05/2003,1990,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2138816,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2138816,PRODUCTION LICENSE,102,Total E&P Norge AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1488,GAS/CONDENSATE,North Sea,2410708,21620,00:00.0,00:00.0,,31350.22708,13314609.84
118,31164600,6368,SKOGUL,Producing,25/1-11 R,2010,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=31164600,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164600,PRODUCTION LICENSE,460,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6368,OIL,North Sea,28544099,4910195,00:00.0,00:00.0,,9437.233435,2303391.454
96,21350124,5949,SKULD,Producing,12/10/6608,2008,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21350124,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21350124,PRODUCTION LICENSE,128,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5949,OIL,Norwegian Sea,32011216,21836,00:00.0,00:00.0,Sandnessj├╕en,15002.02518,6514794.061
6,43478,328,SLEIPNER ØST,Producing,15/09/2009,1981,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43478,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43478,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=328,GAS/CONDENSATE,North Sea,32011216,41211,00:00.0,00:00.0,Dusavik,62911.93362,57574553.11
4,43457,318,SLEIPNER VEST,Producing,15/06/2003,1974,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43457,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43457,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=318,GAS/CONDENSATE,North Sea,32011216,40848,00:00.0,00:00.0,Dusavik,89701.70534,101475732.4
62,2053062,135,SNØHVIT,Producing,01/04/7121,1984,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2053062,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2053062,BUSINESS ARRANGEMENT AREA,SNØHVIT UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=135,GAS,Barents Sea,32011216,1333943,00:00.0,00:00.0,Hammerfest,295536.2333,353903259.5
36,43718,422,SNORRE,Producing,34/4-1,1979,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43718,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43718,BUSINESS ARRANGEMENT AREA,SNORRE UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=422,OIL,North Sea,32011216,40906,00:00.0,00:00.0,Flor├╕,70272.63644,121140267.7
123,34833011,7098,SOLVEIG,Approved for production,16/4-6 S,2013,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=34833011,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833011,PRODUCTION LICENSE,359,Lundin Energy Norway AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7098,OIL,North Sea,36998861,3810373,00:00.0,00:00.0,Tananger,34808.09756,31206873.44
30,43658,417,STATFJORD,Producing,33/12-1,1974,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43658,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43658,BUSINESS ARRANGEMENT AREA,STATFJORD UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=417,OIL,North Sea,32011216,41686,00:00.0,00:00.0,Mongstad,67468.11336,92792104.73
33,43679,413,STATFJORD NORD,Producing,33/9-8,1977,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43679,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43679,PRODUCTION LICENSE,37,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=413,OIL,North Sea,32011216,21084,00:00.0,00:00.0,Mongstad,17003.9582,11378954.73
32,43672,412,STATFJORD ØST,Producing,33/9-7,1976,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43672,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43672,BUSINESS ARRANGEMENT AREA,STATFJORD ØST UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=412,OIL,North Sea,32011216,41233,00:00.0,00:00.0,Mongstad,17675.16236,11358188.88
101,22507971,1920,SVALIN,Producing,25/11/2016,1992,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=22507971,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=22507971,PRODUCTION LICENSE,169,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1920,OIL,North Sea,32011216,22164,00:00.0,00:00.0,Dusavik,19547.96493,6207840.803
51,104718,2830,SYGNA,Producing,33/9-19 S,1996,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=104718,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=104718,BUSINESS ARRANGEMENT AREA,SYGNA UNIT,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2830,OIL,North Sea,32011216,96205,00:00.0,00:00.0,Flor├╕,7181.024452,2640053.01
53,1028599,87,TAMBAR,Producing,01/03/2003,1983,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1028599,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1028599,PRODUCTION LICENSE,65,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=87,OIL,North Sea,28544099,21316,00:00.0,00:00.0,Tananger,23715.33503,8898930.216
82,4999528,5485,TAMBAR ØST,Producing,1/3-K-5,2007,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4999528,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4999528,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,Aker BP ASA,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5485,OIL,North Sea,28544099,4999504,00:00.0,00:00.0,,14539.88355,3579319.429
2,43444,247,TOMMELITEN GAMMA,Shut down,01/09/2004,1978,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43444,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43444,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,ConocoPhillips Skandinavia AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=247,GAS/CONDENSATE,North Sea,2410696,41411,00:00.0,00:00.0,,8049.616175,4984098.171
11,43520,178,TOR,Approved for production,02/05/2001,1970,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43520,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43520,BUSINESS ARRANGEMENT AREA,TOR UNIT,ConocoPhillips Skandinavia AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=178,OIL,North Sea,2410696,45891,00:00.0,00:00.0,Tananger,19851.44844,17381020.97
37,43725,1187,TORDIS,Producing,34/7-12,1987,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43725,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43725,PRODUCTION LICENSE,89,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1187,OIL,North Sea,32011216,21516,00:00.0,00:00.0,Flor├╕,48819.56274,28622861.28
113,29396445,863,TRESTAKK,Producing,02/03/6406,1986,https://factpages.npd.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29396445,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29396445,PRODUCTION LICENSE,91,Equinor Energy AS,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=863,OIL,Norwegian Sea,32011216,21532,00:00.0,00:00.0,Kristiansund,29417.95929,22954465.02
