FIELDNAME,YEAR,OIL,GAS,NGL,COND,OE,WATER,NPDID
SLEIPNER VEST,2008,0,0,0.711,1.267,1.979,0.127,43457
SLEIPNER VEST,2009,0,0,0.842,1.241,2.083,0.122,43457
SLEIPNER VEST,2010,0,0,0.764,1.047,1.811,0.114,43457
SLEIPNER VEST,2011,0,0,0.97,1.455,2.426,0.142,43457
SLEIPNER VEST,2012,0,0,0.887,1.33,2.217,0.22,43457
SLEIPNER VEST,2013,0,0,0.759,1.056,1.816,0.219,43457
SLEIPNER VEST,2014,0.65,3.169,0.586,0.22,4.625,0.191,43457
SLEIPNER VEST,2015,0.826,4.078,0.526,0,5.43,0.365,43457
SLEIPNER VEST,2016,0.77,3.62,0.39,0,4.78,0.281,43457
SLEIPNER VEST,2017,0.736,3.447,0.387,0,4.57,0.165,43457
SLEIPNER VEST,2018,0.688,3.159,0.433,0,4.279,0.173,43457
SLEIPNER VEST,2019,0.548,2.811,0.397,0,3.756,0.148,43457
SLEIPNER VEST,2020,0.368,1.903,0.284,0,2.555,0.129,43457
SLEIPNER ØST,1993,0,0.834,0.299,0.44,1.573,0,43478
SLEIPNER ØST,1994,0,3.952,1.784,2.383,8.119,0,43478
SLEIPNER ØST,1995,0,5.195,2.489,3.168,10.852,0,43478
SLEIPNER ØST,1996,0,7.625,2.548,3.195,13.369,0,43478
SLEIPNER ØST,1997,0,7.5,2.187,2.7,12.387,0,43478
SLEIPNER ØST,1998,0,7.198,2.102,2.586,11.886,0,43478
SLEIPNER ØST,1999,0,8.069,2.206,2.637,12.913,0,43478
SLEIPNER ØST,2000,0,11.806,1.854,2.113,15.773,0.047,43478
SLEIPNER ØST,2001,0,11.641,1.821,1.877,15.339,0.044,43478
SLEIPNER ØST,2002,0,13.481,1.734,1.529,16.743,0.096,43478
SLEIPNER ØST,2003,0,13.233,1.083,1.015,15.331,0.065,43478
SLEIPNER ØST,2004,0,12.692,0.904,0.72,14.316,0.055,43478
SLEIPNER ØST,2005,0,14.321,0.806,0.607,15.734,0.093,43478
SLEIPNER ØST,2006,0,13.215,0.7,0.467,14.382,0.211,43478
SLEIPNER ØST,2007,0,13.42,0.61,0.413,14.443,0.224,43478
SLEIPNER ØST,2008,0,11.335,0.484,0.309,12.129,0.154,43478
SLEIPNER ØST,2009,0,10.083,0.406,0.219,10.708,0.048,43478
SLEIPNER ØST,2010,0,8.088,0.312,0.144,8.544,0.031,43478
SLEIPNER ØST,2011,0,8.098,0.262,0.143,8.503,0.031,43478
SLEIPNER ØST,2012,0,6.896,0.209,0.091,7.196,0.033,43478
SLEIPNER ØST,2013,0,5.94,0.142,0.06,6.142,0.02,43478
SLEIPNER ØST,2014,0.052,1.512,0.087,0.018,1.668,0.021,43478
SLEIPNER ØST,2015,0.068,0.349,0.075,0,0.492,0.024,43478
SLEIPNER ØST,2016,0.059,0.292,0.057,0,0.408,0.025,43478
SLEIPNER ØST,2017,0.053,0.138,0.032,0,0.223,0.018,43478
SLEIPNER ØST,2018,0.043,0.193,0.046,0,0.282,0.016,43478
SLEIPNER ØST,2019,0.042,0.17,0.042,0,0.254,0.014,43478
SLEIPNER ØST,2020,0.029,0.126,0.03,0,0.185,0.014,43478
SNORRE,1992,1.558,0,0.087,0,1.645,0,43718
SNORRE,1993,6.909,0.215,0.495,0,7.62,0,43718
SNORRE,1994,9.872,0.454,0.61,0,10.936,0,43718
SNORRE,1995,11.374,0.627,0.68,0,12.681,0,43718
SNORRE,1996,11.482,0.611,0.628,0,12.721,0,43718
SNORRE,1997,10.77,0.577,0.568,0,11.915,0,43718
SNORRE,1998,10.091,0.457,0.615,0,11.163,0,43718
SNORRE,1999,9.399,0.308,0.557,0,10.264,0,43718
SNORRE,2000,8.587,0.292,0.535,0,9.415,6.285,43718
SNORRE,2001,11.545,0.521,0.975,0,13.041,6.353,43718
SNORRE,2002,12.64,0.45,0.936,0,14.026,6.134,43718
SNORRE,2003,13.598,0.406,0.667,0,14.671,7.101,43718
SNORRE,2004,11.539,0.193,0.262,0,11.993,7.409,43718
SNORRE,2005,8.956,0.343,0.405,0,9.703,5.902,43718
SNORRE,2006,8.315,0.147,0.22,0,8.682,7.815,43718
SNORRE,2007,8.382,0.064,0.084,0,8.53,9.809,43718
SNORRE,2008,8.472,0.229,0.183,0.002,8.886,8.474,43718
SNORRE,2009,6.006,0.139,0.095,0.005,6.246,6.781,43718
SNORRE,2010,5.83,0.138,0.095,0.005,6.068,8.117,43718
SNORRE,2011,5.517,0.119,0.088,0.004,5.727,7.717,43718
SNORRE,2012,4.45,0.034,0.026,0.002,4.512,7.854,43718
SNORRE,2013,5.088,0.019,0.027,0.004,5.138,9.337,43718
SNORRE,2014,5.619,0.009,0.006,0,5.634,10.053,43718
SNORRE,2015,6.36,0,0,0,6.36,11.154,43718
SNORRE,2016,5.724,0,0,0,5.724,10.617,43718
SNORRE,2017,4.816,0.068,0.113,0,4.997,9.397,43718
SNORRE,2018,5.333,0,0,0,5.333,9.706,43718
SNORRE,2019,3.025,0.011,0.031,0,3.068,5.679,43718
SNORRE,2020,3.203,0,0,0,3.203,4.838,43718
SNØHVIT,2007,0,0.145,0.014,0.111,0.27,0,2053062
SNØHVIT,2008,0,2.355,0.247,0.506,3.108,0,2053062
SNØHVIT,2009,0,3.333,0.325,0.599,4.256,0,2053062
SNØHVIT,2010,0,4.999,0.472,0.842,6.313,0,2053062
SNØHVIT,2011,0,4.315,0.404,0.718,5.437,0,2053062
SNØHVIT,2012,0,4.651,0.43,0.771,5.852,0,2053062
SNØHVIT,2013,0,4.289,0.406,0.694,5.389,0,2053062
SNØHVIT,2014,0,5.224,0.478,0.806,6.508,0,2053062
SNØHVIT,2015,0,5.963,0.539,0.882,7.385,0.009,2053062
SNØHVIT,2016,0,6.055,0.549,0.872,7.476,0.023,2053062
SNØHVIT,2017,0,5.576,0.514,0.786,6.877,0.022,2053062
SNØHVIT,2018,0,6.451,0.579,0.882,7.912,0.026,2053062
SNØHVIT,2019,0,6.216,0.529,0.827,7.573,0.027,2053062
SNØHVIT,2020,0,3.784,0.3,0.493,4.577,0.017,2053062
STATFJORD,1979,0.259,0,0,0,0.259,0,43658
STATFJORD,1980,3.429,0,0,0,3.429,0,43658
STATFJORD,1981,7.928,0,0,0,7.928,0,43658
STATFJORD,1982,11.397,0,0,0,11.397,0,43658
STATFJORD,1983,19.044,0,0,0,19.044,0,43658
STATFJORD,1984,22.437,0,0,0,22.437,0,43658
STATFJORD,1985,28.762,0.454,0.302,0,29.518,0,43658
STATFJORD,1986,34.281,3.01,1.653,0,38.944,0,43658
STATFJORD,1987,34.959,3.26,1.861,0,40.08,0,43658
STATFJORD,1988,34.586,3.203,1.795,0,39.583,0,43658
STATFJORD,1989,33.993,3.014,1.633,0,38.639,0,43658
STATFJORD,1990,33.314,2.972,1.606,0,37.892,0,43658
STATFJORD,1991,34.858,2.838,1.506,0,39.202,0,43658
STATFJORD,1992,36.989,2.981,1.531,0,41.502,0,43658
STATFJORD,1993,33.304,2.96,1.357,0,37.622,0,43658
STATFJORD,1994,31.731,3.144,1.391,0,36.266,0,43658
STATFJORD,1995,25.878,2.942,1.315,0,30.135,0,43658
STATFJORD,1996,21.609,3.236,1.51,0,26.356,0,43658
STATFJORD,1997,19.155,3.094,1.443,0,23.692,0,43658
STATFJORD,1998,16.596,2.512,1.207,0,20.314,0,43658
STATFJORD,1999,12.519,2.28,1.047,0,15.846,0,43658
STATFJORD,2000,10.886,1.552,0.722,0,13.159,34.503,43658
STATFJORD,2001,10.126,1.434,0.646,0,12.206,34.919,43658
STATFJORD,2002,8.872,1.514,0.626,0,11.011,34.071,43658
STATFJORD,2003,7.755,1.194,0.622,0,9.57,35.44,43658
STATFJORD,2004,6.97,2.141,0.693,0.067,9.872,33.689,43658
STATFJORD,2005,5.563,1.96,0.764,0.045,8.332,38.967,43658
STATFJORD,2006,4.259,1.948,0.981,0.016,7.204,31.578,43658
STATFJORD,2007,3.981,2.012,1.016,0.045,7.054,36.166,43658
STATFJORD,2008,3.177,3.023,1.304,0.116,7.621,32.242,43658
STATFJORD,2009,2.111,2.475,1.027,0.096,5.709,20.089,43658
STATFJORD,2010,1.999,2.293,0.884,0.08,5.256,17.978,43658
STATFJORD,2011,1.882,1.349,0.423,0.041,3.695,20.302,43658
STATFJORD,2012,1.541,1.33,0.553,0.039,3.464,21.174,43658
STATFJORD,2013,1.594,1.471,0.944,0.066,4.075,25.251,43658
STATFJORD,2014,1.409,1.773,1.371,0.138,4.691,28.14,43658
STATFJORD,2015,1.365,2.401,1.739,0.183,5.687,26.418,43658
STATFJORD,2016,1.439,2.686,1.901,0,6.026,21.522,43658
STATFJORD,2017,1.178,1.832,1.413,0,4.423,18.313,43658
STATFJORD,2018,1.009,1.3,0.966,0,3.275,16.964,43658
STATFJORD,2019,0.825,1.091,0.67,0,2.587,13.193,43658
STATFJORD,2020,0.698,0.79,0.599,0,2.087,13.717,43658
STATFJORD NORD,1995,2.548,0.119,0.07,0,2.737,0,43679
STATFJORD NORD,1996,3.307,0.329,0.159,0,3.795,0,43679
STATFJORD NORD,1997,3.935,0.173,0.092,0,4.2,0,43679
STATFJORD NORD,1998,3.035,0.166,0.088,0,3.289,0,43679
STATFJORD NORD,1999,3.393,0.157,0.089,0,3.639,0,43679
STATFJORD NORD,2000,3.998,0.121,0.081,0,4.2,1.023,43679
STATFJORD NORD,2001,2.841,0.114,0.108,0,3.063,2.702,43679
STATFJORD NORD,2002,2.275,0.138,0.126,0,2.538,2.892,43679
STATFJORD NORD,2003,2.83,0.184,0.137,0,3.152,3.299,43679
STATFJORD NORD,2004,2.163,0.153,0.116,0,2.432,3.644,43679
STATFJORD NORD,2005,1.906,0.266,0.198,0,2.371,3.791,43679
STATFJORD NORD,2006,1.31,0.16,0.115,0,1.585,3.7,43679
STATFJORD NORD,2007,1.127,0.089,0.064,0,1.279,4.721,43679
STATFJORD NORD,2008,0.744,0.038,0.027,0,0.809,3.907,43679
STATFJORD NORD,2009,0.286,0.016,0.007,0.001,0.309,1.296,43679
STATFJORD NORD,2010,0.409,0.031,0.012,0.001,0.453,1.857,43679
STATFJORD NORD,2011,0.246,0.024,0.008,0.001,0.278,2.124,43679
STATFJORD NORD,2012,0.165,0.01,0.003,0,0.178,1.251,43679
STATFJORD NORD,2013,0.164,0.012,0.008,0.001,0.184,1.147,43679
STATFJORD NORD,2014,0.261,0.017,0.014,0.001,0.294,1.905,43679
STATFJORD NORD,2015,0.299,0.019,0.013,0.002,0.332,1.341,43679
STATFJORD NORD,2016,0.609,0.039,0.029,0,0.677,2.001,43679
STATFJORD NORD,2017,0.616,0.044,0.034,0,0.694,3.575,43679
STATFJORD NORD,2018,0.413,0.03,0.023,0,0.466,2.826,43679
STATFJORD NORD,2019,0.404,0.022,0.015,0,0.44,3.348,43679
STATFJORD NORD,2020,0.437,0.016,0.014,0,0.467,4.005,43679
STATFJORD ØST,1994,0.611,0.032,0.014,0,0.657,0,43672
STATFJORD ØST,1995,3.229,0.136,0.066,0,3.431,0,43672
STATFJORD ØST,1996,3.356,0.221,0.107,0,3.683,0,43672
STATFJORD ØST,1997,4.15,0.256,0.137,0,4.543,0,43672
STATFJORD ØST,1998,4.236,0.246,0.13,0,4.612,0,43672
STATFJORD ØST,1999,3.769,0.278,0.156,0,4.203,0,43672
STATFJORD ØST,2000,2.822,0.344,0.23,0,3.396,1.387,43672
STATFJORD ØST,2001,2.197,0.304,0.287,0,2.788,1.947,43672
STATFJORD ØST,2002,1.917,0.214,0.194,0,2.326,1.958,43672
STATFJORD ØST,2003,1.992,0.242,0.181,0,2.416,2.679,43672
STATFJORD ØST,2004,1.349,0.194,0.148,0,1.691,2.825,43672
STATFJORD ØST,2005,1.129,0.388,0.289,0,1.806,3.261,43672
STATFJORD ØST,2006,1.136,0.332,0.238,0,1.706,2.785,43672
STATFJORD ØST,2007,1.183,0.311,0.219,0,1.713,3.928,43672
STATFJORD ØST,2008,0.782,0.113,0.079,0.001,0.975,2.93,43672
STATFJORD ØST,2009,0.552,0.069,0.035,0.002,0.657,2.068,43672
STATFJORD ØST,2010,0.817,0.109,0.048,0.004,0.978,2.239,43672
STATFJORD ØST,2011,0.393,0.057,0.029,0.001,0.481,1.847,43672
STATFJORD ØST,2012,0.462,0.047,0.024,0.002,0.534,2.259,43672
STATFJORD ØST,2013,0.334,0.057,0.037,0.002,0.43,1.509,43672
STATFJORD ØST,2014,0.225,0.035,0.026,0.002,0.289,1.061,43672
STATFJORD ØST,2015,0.209,0.04,0.021,0.002,0.272,0.912,43672
STATFJORD ØST,2016,0.219,0.023,0.017,0,0.258,0.824,43672
STATFJORD ØST,2017,0.199,0.032,0.025,0,0.255,0.852,43672
STATFJORD ØST,2018,0.142,0.026,0.02,0,0.188,0.8,43672
STATFJORD ØST,2019,0.128,0.009,0.007,0,0.144,0.684,43672
STATFJORD ØST,2020,0.148,0.034,0.031,0,0.214,0.684,43672
SVALIN,2014,1.015,0,0,0,1.015,0.192,22507971
SVALIN,2015,1.961,0,0,0,1.961,0.422,22507971
SVALIN,2016,1.381,0,0,0,1.381,0.863,22507971
SVALIN,2017,0.986,0,0,0,0.986,1.155,22507971
SVALIN,2018,0.731,0,0,0,0.731,1.203,22507971
SVALIN,2019,0.468,0,0,0,0.468,1.547,22507971
SVALIN,2020,0.4,0,0,0,0.4,1.312,22507971
SYGNA,2000,0.642,0,0,0,0.642,0.002,104718
SYGNA,2001,2.55,0,0,0,2.55,0,104718
SYGNA,2002,1.813,0,0,0,1.813,0.439,104718
SYGNA,2003,1.638,0,0,0,1.638,1.177,104718
SYGNA,2004,1.143,0,0,0,1.143,1.311,104718
SYGNA,2005,0.691,0,0,0,0.691,1.793,104718
SYGNA,2006,0.413,0,0,0,0.413,1.603,104718
SYGNA,2007,0.377,0,0,0,0.377,1.946,104718
SYGNA,2008,0.298,0,0,0,0.298,2.095,104718
SYGNA,2009,0.13,0,0,0,0.13,1.141,104718
SYGNA,2010,0.054,0,0,0,0.054,0.327,104718
SYGNA,2011,0.063,0,0,0,0.063,0.219,104718
SYGNA,2012,0.051,0,0,0,0.051,0.136,104718
SYGNA,2013,0.059,0,0,0,0.059,0.144,104718
SYGNA,2014,0.035,0,0,0,0.035,0.072,104718
SYGNA,2015,0.148,0,0,0,0.148,0.715,104718
SYGNA,2016,0.167,0,0,0,0.167,1.345,104718
SYGNA,2017,0.192,0,0,0,0.192,1.204,104718
SYGNA,2018,0.156,0,0,0,0.156,1.111,104718
SYGNA,2019,0.18,0,0,0,0.18,1.727,104718
SYGNA,2020,0.135,0,0,0,0.135,1.797,104718
TAMBAR,2001,0.535,0,0.025,0,0.56,0.003,1028599
TAMBAR,2002,1.726,0,0.087,0,1.814,0.005,1028599
TAMBAR,2003,1.463,0,0.072,0,1.535,0.005,1028599
TAMBAR,2004,0.884,0,0.046,0,0.93,0.004,1028599
TAMBAR,2005,1.24,0,0.07,0,1.31,0.01,1028599
TAMBAR,2006,0.936,0,0.056,0,0.991,0.017,1028599
TAMBAR,2007,0.65,0,0.037,0,0.686,0.019,1028599
TAMBAR,2008,0.591,0,0.037,0,0.629,0.027,1028599
TAMBAR,2009,0.341,0,0.016,0,0.357,0.004,1028599
TAMBAR,2010,0.285,0,0.013,0,0.298,0.003,1028599
TAMBAR,2011,0.29,0,0.011,0,0.302,0.003,1028599
TAMBAR,2012,0.226,0,0.01,0,0.235,0.002,1028599
TAMBAR,2013,0.24,0,0.01,0,0.249,0.011,1028599
TAMBAR,2014,0.334,0,0.014,0,0.347,0.024,1028599
TAMBAR,2015,0.253,0,0.011,0,0.264,0.003,1028599
TAMBAR,2016,0.222,0,0.01,0,0.232,0.008,1028599
TAMBAR,2017,0.191,0,0.009,0,0.2,0.037,1028599
TAMBAR,2018,0.332,0,0.016,0,0.348,0.019,1028599
TAMBAR,2019,0.217,0,0.008,0,0.225,0.022,1028599
TAMBAR,2020,0.234,0,0.008,0,0.242,0.026,1028599
TOMMELITEN GAMMA,1988,0.204,0.255,0.041,0,0.5,0,43444
TOMMELITEN GAMMA,1989,0.785,1.086,0.17,0,2.041,0,43444
TOMMELITEN GAMMA,1990,0.691,1.25,0.184,0,2.125,0,43444
TOMMELITEN GAMMA,1991,0.467,1.001,0.124,0,1.591,0,43444
TOMMELITEN GAMMA,1992,0.437,1.171,0.124,0,1.732,0,43444
TOMMELITEN GAMMA,1993,0.396,1.298,0.14,0,1.834,0,43444
TOMMELITEN GAMMA,1994,0.27,0.993,0.109,0,1.372,0,43444
TOMMELITEN GAMMA,1995,0.224,0.876,0.095,0,1.195,0,43444
TOMMELITEN GAMMA,1996,0.189,0.788,0.083,0,1.061,0,43444
TOMMELITEN GAMMA,1997,0.141,0.648,0.072,0,0.862,0,43444
TOMMELITEN GAMMA,1998,0.069,0.327,0.039,0,0.435,0,43444
TOR,1978,1.207,0.341,0,0,1.548,0,43520
TOR,1979,4.526,1.157,0.14,0,5.823,0,43520
TOR,1980,3.59,1.288,0.278,0,5.155,0,43520
TOR,1981,1.884,1.177,0.229,0,3.29,0,43520
TOR,1982,1.531,1.342,0.272,0,3.145,0,43520
TOR,1983,0.968,1.087,0.255,0,2.31,0,43520
TOR,1984,0.867,0.936,0.217,0,2.02,0,43520
TOR,1985,0.824,0.779,0.201,0,1.805,0,43520
TOR,1986,0.625,0.464,0.117,0,1.205,0,43520
TOR,1987,0.477,0.343,0.089,0,0.909,0,43520
TOR,1988,0.483,0.318,0.096,0,0.897,0,43520
TOR,1989,0.51,0.312,0.089,0,0.912,0,43520
TOR,1990,0.473,0.242,0.068,0,0.783,0,43520
TOR,1991,0.346,0.161,0.038,0,0.545,0,43520
TOR,1992,0.362,0.144,0.031,0,0.538,0,43520
TOR,1993,0.346,0.095,0.022,0,0.463,0,43520
TOR,1994,0.339,0.074,0.019,0,0.432,0,43520
TOR,1995,0.339,0.067,0.018,0,0.424,0,43520
TOR,1996,0.359,0.063,0.017,0,0.439,0,43520
TOR,1997,0.347,0.057,0.017,0,0.421,0,43520
TOR,1998,0.231,0.036,0.011,0,0.278,0,43520
TOR,1999,0.221,0.037,0.011,0,0.269,0,43520
TOR,2000,0.256,0.041,0.011,0,0.307,0.469,43520
TOR,2001,0.257,0.035,0.01,0,0.301,0.715,43520
TOR,2002,0.214,0.025,0.008,0,0.247,0.379,43520
TOR,2003,0.163,0.017,0.007,0,0.187,0.316,43520
TOR,2004,0.197,0.021,0.008,0,0.227,0.177,43520
TOR,2005,0.18,0.02,0.008,0,0.208,0.037,43520
TOR,2006,0.164,0.024,0.009,0,0.197,0.031,43520
TOR,2007,0.315,0.054,0.016,0,0.385,0.187,43520
TOR,2008,0.307,0.033,0.013,0,0.353,0.391,43520
TOR,2009,0.292,0.024,0.01,0,0.326,0.377,43520
TOR,2010,0.237,0.014,0.007,0,0.258,0.224,43520
TOR,2011,0.219,0.008,0.005,0,0.232,0.265,43520
TOR,2012,0.223,0.007,0.005,0,0.236,0.158,43520
TOR,2013,0.199,0.008,0.005,0,0.212,0.209,43520
TOR,2014,0.197,0.009,0.004,0,0.21,0.21,43520
TOR,2015,0.181,0.007,0.004,0,0.191,0.172,43520
TORDIS,1994,1.555,0.093,0.041,0,1.689,0,43725
TORDIS,1995,4.146,0.278,0.171,0,4.594,0,43725
TORDIS,1996,4.504,0.364,0.199,0,5.067,0,43725
TORDIS,1997,4.122,0.39,0.197,0,4.709,0,43725
TORDIS,1998,3.97,0.32,0.196,0,4.486,0,43725
TORDIS,1999,4.42,0.338,0.216,0,4.975,0,43725
TORDIS,2000,3.994,0.304,0.199,0,4.497,1.232,43725
TORDIS,2001,4.754,0.336,0.323,0,5.413,1.103,43725
TORDIS,2002,4.616,0.317,0.319,0,5.251,1.303,43725
TORDIS,2003,4.115,0.329,0.261,0,4.705,1.624,43725
TORDIS,2004,3.686,0.281,0.215,0,4.182,2.274,43725
TORDIS,2005,3.026,0.247,0.19,0,3.463,2.438,43725
TORDIS,2006,1.668,0.107,0.089,0,1.864,2.821,43725
TORDIS,2007,2.43,0.092,0.076,0,2.598,3.047,43725
TORDIS,2008,1.609,0.002,0.002,0,1.613,4.494,43725
TORDIS,2009,1.095,0.005,0.005,0,1.105,3.301,43725
TORDIS,2010,0.736,0,0.004,0,0.741,1.642,43725
TORDIS,2011,0.59,0.408,0.34,0.002,1.341,1.025,43725
TORDIS,2012,0.223,0.018,0.015,0,0.256,0.396,43725
TORDIS,2013,0.508,0.037,0.031,0,0.577,1.254,43725
TORDIS,2014,0.746,0.018,0.016,0,0.78,2.996,43725
TORDIS,2015,1.147,0,0,0,1.147,2.793,43725
TORDIS,2016,1.447,0,0,0,1.447,3.312,43725
TORDIS,2017,1.255,0,0,0,1.255,3.151,43725
TORDIS,2018,0.952,0,0,0,0.952,4.55,43725
TORDIS,2019,0.704,0.378,0.311,0,1.394,4.568,43725
TORDIS,2020,0.524,0.035,0.026,0,0.585,4.459,43725
TRESTAKK,2019,0.52,0,0,0,0.52,0.006,29396445
TRESTAKK,2020,0.821,0,0,0,0.821,0.012,29396445
TROLL,1990,1.051,0,0,0,1.051,0,46437
TROLL,1991,0.176,0,0,0,0.176,0,46437
TROLL,1992,0.063,0,0,0,0.063,0,46437
TROLL,1993,0.06,0,0,0,0.06,0,46437
TROLL,1994,0.061,0,0,0,0.061,0,46437
TROLL,1995,2.856,0,0,0,2.856,0,46437
TROLL,1996,13.324,5.507,0,0,18.831,0,46437
TROLL,1997,14.767,14.317,0,0,29.084,0,46437
TROLL,1998,13.254,19.954,0,0,33.208,0,46437
TROLL,1999,12.909,25.461,0,0.218,38.588,0,46437
TROLL,2000,18.362,24.666,0,0.75,43.778,15.814,46437
TROLL,2001,19.503,21.433,0,0.639,41.576,18.491,46437
TROLL,2002,21.194,25.581,0,0.768,47.543,18.919,46437
TROLL,2003,20.821,26.169,0,1.512,48.502,21.917,46437
TROLL,2004,17.764,26.362,0.282,0.45,44.857,23.636,46437
TROLL,2005,14.093,28.34,1.31,0,43.742,22.594,46437
TROLL,2006,10.82,30.701,1.4,0,42.921,21.258,46437
TROLL,2007,9.426,35.78,1.369,0,46.574,21.661,46437
TROLL,2008,8.168,29.739,1.075,0,38.982,21.539,46437
TROLL,2009,7.849,24.401,1.065,0,33.316,20.957,46437
TROLL,2010,6.87,28.556,1.072,0,36.498,19.984,46437
TROLL,2011,7.264,24.796,0.93,0,32.989,19.843,46437
TROLL,2012,7.1,34.407,1.411,0,42.918,18.964,46437
TROLL,2013,7.097,29.634,1.235,0,37.965,17.761,46437
TROLL,2014,7.298,29.045,1.23,0,37.573,18.744,46437
TROLL,2015,7.014,34.633,1.337,0,42.985,18.333,46437
TROLL,2016,7.348,31.871,1.282,0,40.501,17.625,46437
TROLL,2017,7.244,36.744,1.468,0,45.456,18.027,46437
TROLL,2018,6.41,38.555,1.481,0,46.446,17.172,46437
TROLL,2019,6.259,31.539,1.197,0,38.995,17.73,46437
TROLL,2020,4.071,28.213,1.068,0,33.352,13.619,46437
TRYM,2011,0.334,0.461,0,0,0.795,0,18081500
TRYM,2012,0.369,0.643,0,0,1.012,0,18081500
TRYM,2013,0.192,0.369,0,0,0.561,0,18081500
TRYM,2014,0.199,0.446,0,0,0.645,0,18081500
TRYM,2015,0.197,0.532,0,0,0.729,0,18081500
TRYM,2016,0.152,0.45,0,0,0.602,0,18081500
TRYM,2017,0.134,0.407,0,0,0.541,0,18081500
TRYM,2018,0.067,0.265,0,0,0.332,0.003,18081500
TRYM,2019,0.031,0.145,0,0,0.176,0,18081500
TUNE,2002,0.018,0.044,0.001,0,0.063,0,853376
TUNE,2003,1.139,3.332,0.042,0,4.513,0.048,853376
TUNE,2004,0.958,3.972,0.046,0,4.976,0.041,853376
TUNE,2005,0.506,3.118,0.034,0,3.658,0.032,853376
TUNE,2006,0.287,2.557,0.027,0,2.871,0.015,853376
TUNE,2007,0.165,1.801,0.02,0,1.985,0.027,853376
TUNE,2008,0.099,1.273,0.021,0,1.392,0.098,853376
TUNE,2009,0.112,1.056,0.018,0,1.187,0.024,853376
TUNE,2010,0.071,0.594,0.012,0,0.676,0.006,853376
TUNE,2011,0.046,0.435,0.009,0,0.49,0.007,853376
TUNE,2012,0.042,0.343,0.006,0,0.391,0.013,853376
TUNE,2013,0.043,0.398,0.006,0,0.447,0.009,853376
TUNE,2014,0.032,0.319,0.005,0,0.356,0.035,853376
TUNE,2015,0.022,0.195,0.003,0,0.219,0.027,853376
TUNE,2016,0.013,0.129,0.002,0,0.144,0.007,853376
TUNE,2017,-0.001,0,0.002,0,0.001,0,853376
TUNE,2018,0.01,0.108,0.002,0,0.12,0.007,853376
TUNE,2019,0.005,0.052,0.001,0,0.057,0.002,853376
TUNE,2020,0,0,0,0,0,0,853376
TYRIHANS,2009,1.596,0.348,0.162,0,2.106,0.001,3960848
TYRIHANS,2010,4.056,0.05,0.022,0,4.128,0,3960848
TYRIHANS,2011,5.121,0.27,0.125,0,5.516,0,3960848
TYRIHANS,2012,5.148,0.024,0.012,0,5.184,0.222,3960848
TYRIHANS,2013,3.465,0.352,0.16,0,3.977,0.287,3960848
TYRIHANS,2014,3.517,1.174,0.48,0,5.17,0.806,3960848
TYRIHANS,2015,2.553,1.798,0.662,0,5.013,1.021,3960848
TYRIHANS,2016,1.642,2.141,0.72,0,4.503,1.017,3960848
TYRIHANS,2017,1.567,3.167,0.951,0,5.685,1.151,3960848
TYRIHANS,2018,1.145,2.926,0.913,0,4.984,0.973,3960848
TYRIHANS,2019,0.955,3.244,0.97,0,5.169,1.227,3960848
TYRIHANS,2020,0.727,2.454,0.693,0,3.875,0.992,3960848
ULA,1986,0.847,0.038,0.066,0,0.951,0,43800
ULA,1987,4.581,0.32,0.397,0,5.298,0,43800
ULA,1988,5.062,0.361,0.502,0,5.926,0,43800
ULA,1989,5.056,0.348,0.493,0,5.897,0,43800
ULA,1990,5.505,0.376,0.515,0,6.395,0,43800
ULA,1991,6.783,0.424,0.53,0,7.737,0,43800
ULA,1992,7.317,0.457,0.531,0,8.305,0,43800
ULA,1993,7.346,0.472,0.517,0,8.335,0,43800
ULA,1994,5.458,0.349,0.373,0,6.179,0,43800
ULA,1995,3.799,0.235,0.254,0,4.287,0,43800
ULA,1996,2.715,0.165,0.162,0,3.042,0,43800
ULA,1997,2.222,0.147,0.128,0,2.496,0,43800
ULA,1998,1.697,0.022,0.074,0,1.793,0,43800
ULA,1999,1.457,0,0.051,0,1.508,0,43800
ULA,2000,1.178,0,0.043,0,1.221,4.338,43800
ULA,2001,1.323,0.006,0.069,0,1.399,4.07,43800
ULA,2002,1.241,0.046,0.092,0,1.379,3.009,43800
ULA,2003,1.071,0.05,0.084,0,1.205,3.129,43800
ULA,2004,1.034,0.028,0.066,0,1.127,3.662,43800
ULA,2005,1.085,0,0.074,0,1.159,3.068,43800
ULA,2006,0.988,0,0.064,0,1.052,2.818,43800
ULA,2007,0.805,0.007,0.045,0,0.856,1.849,43800
ULA,2008,0.549,0.001,0.024,0,0.574,0.787,43800
ULA,2009,0.747,0.001,0.033,0,0.782,0.687,43800
ULA,2010,1.101,0,0.053,0,1.154,1.776,43800
ULA,2011,0.739,0,0.027,0,0.766,1.686,43800
ULA,2012,0.529,0,0.021,0,0.55,1.796,43800
ULA,2013,0.544,0,0.023,0,0.567,1.45,43800
ULA,2014,0.646,0,0.022,0,0.668,2.676,43800
ULA,2015,0.496,0,0.017,0,0.513,2.645,43800
ULA,2016,0.461,0,0.016,0,0.477,2.867,43800
ULA,2017,0.455,0,0.014,0,0.468,2.529,43800
ULA,2018,0.427,0,0.009,0,0.436,3.091,43800
ULA,2019,0.31,0,0.025,0,0.335,3.797,43800
ULA,2020,0.248,0,0.028,0,0.277,2.883,43800
